t	BP
SECONDS	mmHg
0.005	70
0.01	71
0.015	74
0.02	78
0.025	81
0.03	86
0.035	90
0.04	95
0.045	99
0.05	104
0.055	107
0.06	110
0.065	112
0.07	114
0.075	115
0.08	115
0.085	115
0.09	115
0.095	114
0.1	113
0.105	112
0.11	110
0.115	108
0.12	107
0.125	106
0.13	104
0.135	103
0.14	101
0.145	100
0.15	98
0.155	98
0.16	97
0.166	95
0.17	94
0.175	93
0.18	92
0.185	92
0.19	91
0.195	90
0.2	89
0.205	88
0.21	87
0.215	86
0.22	85
0.225	84
0.23	83
0.235	82
0.24	82
0.245	81
0.25	80
0.255	80
0.26	79
0.265	79
0.27	79
0.283	79
0.287	80
0.291	80
0.295	80
0.299	81
0.304	81
0.308	81
0.312	81
0.316	82
0.32	82
0.325	82
0.33	83
0.335	83
0.34	83
0.345	83
0.35	83
0.355	83
0.36	83
0.365	82
0.37	82
0.375	81
0.38	81
0.385	80
0.39	80
0.395	80
0.4	79
0.405	79
0.41	78
0.416	78
0.42	77
0.425	77
0.43	76
0.435	76
0.44	75
0.445	74
0.45	74
0.455	74
0.46	73
0.465	73
0.47	73
0.475	72
0.48	72
0.485	71
0.49	71
0.495	71
0.5	71
0.505	71
0.51	70
0.515	70
0.52	70
0.525	70
0.53	70
0.535	70
0.54	70
0.545	70
0.55	69
0.555	69
0.56	69
0.565	69
0.57	69
0.575	69
0.58	69
0.585	69
0.59	69
0.595	69
0.6	68
0.605	68
0.61	69
0.615	69
0.62	68
0.625	68
0.63	68
0.635	68
0.64	67
0.645	67
0.65	67
0.655	67
0.66	67
0.666	66
0.67	66
0.675	66
0.68	66
0.685	66
0.69	66
0.695	65
0.7	65
0.705	66
0.71	66
0.715	68
0.72	69
0.725	71
0.73	74
0.735	78
0.74	82
0.745	86
0.75	90
0.755	94
0.76	98
0.765	102
0.77	105
0.775	107
0.78	109
0.785	111
0.79	112
0.795	112
0.8	112
0.805	112
0.81	111
0.815	110
0.82	109
0.825	108
0.83	106
0.835	105
0.84	103
0.845	102
0.85	100
0.855	99
0.86	97
0.865	96
0.87	94
0.875	93
0.88	92
0.885	91
0.89	90
0.895	90
0.9	89
0.905	88
0.91	88
0.916	86
0.92	86
0.925	85
0.93	83
0.935	82
0.94	82
0.945	81
0.95	80
0.955	79
0.96	78
0.965	78
0.97	78
0.975	78
0.98	78
0.985	78
0.996	78
1.002	79
1.006	79
1.01	79
1.014	80
1.018	80
1.023	81
1.027	81
1.031	82
1.035	82
1.04	82
1.045	82
1.05	82
1.055	82
1.06	82
1.065	82
1.07	81
1.075	82
1.08	81
1.085	81
1.09	80
1.095	80
1.1	80
1.105	79
1.11	79
1.115	78
1.12	78
1.125	77
1.13	77
1.135	76
1.14	76
1.145	75
1.15	75
1.155	74
1.16	74
1.166	73
1.17	73
1.175	73
1.18	72
1.185	72
1.19	72
1.195	71
1.2	71
1.205	71
1.21	71
1.215	70
1.22	70
1.225	70
1.23	70
1.235	70
1.24	70
1.245	70
1.25	70
1.255	70
1.26	69
1.265	69
1.27	69
1.275	69
1.28	69
1.285	69
1.29	69
1.295	69
1.3	69
1.305	69
1.31	68
1.315	68
1.32	68
1.325	68
1.33	68
1.335	68
1.34	68
1.345	68
1.35	67
1.355	67
1.36	67
1.365	67
1.37	67
1.375	66
1.38	66
1.385	66
1.39	66
1.395	66
1.4	66
1.405	67
1.41	68
1.416	70
1.42	72
1.425	75
1.43	78
1.435	82
1.44	86
1.445	90
1.45	94
1.455	98
1.46	102
1.465	104
1.47	107
1.475	109
1.48	111
1.485	112
1.49	112
1.495	113
1.5	112
1.505	112
1.51	111
1.515	110
1.52	109
1.525	108
1.53	106
1.535	104
1.54	102
1.545	101
1.55	99
1.555	98
1.56	96
1.565	95
1.57	94
1.575	93
1.58	92
1.585	91
1.59	90
1.595	89
1.6	89
1.605	88
1.61	87
1.615	87
1.62	86
1.625	85
1.63	83
1.635	82
1.64	82
1.645	82
1.65	81
1.655	80
1.66	80
1.666	79
1.67	79
1.675	79
1.68	80
1.685	80
1.69	80
1.695	80
1.7	80
1.713	81
1.717	81
1.721	81
1.725	81
1.729	82
1.733	82
1.738	82
1.742	82
1.746	82
1.75	82
1.755	82
1.76	82
1.765	82
1.77	82
1.775	82
1.78	81
1.785	81
1.79	81
1.795	80
1.8	80
1.805	79
1.81	79
1.815	78
1.82	77
1.825	77
1.83	77
1.835	76
1.84	76
1.845	75
1.85	74
1.855	74
1.86	74
1.865	73
1.87	73
1.875	73
1.88	72
1.885	72
1.89	72
1.895	71
1.9	71
1.905	71
1.91	70
1.916	70
1.92	70
1.925	70
1.93	70
1.935	70
1.94	70
1.945	70
1.95	69
1.955	69
1.96	69
1.965	69
1.97	69
1.975	69
1.98	69
1.985	69
1.99	69
1.995	69
2.0	68
2.005	68
2.01	68
2.015	68
2.02	68
2.025	68
2.03	68
2.035	67
2.04	67
2.045	67
2.05	67
2.055	66
2.06	66
2.065	66
2.07	66
2.075	66
2.08	66
2.085	66
2.09	66
2.095	67
2.1	68
2.105	70
2.11	72
2.115	75
2.12	79
2.125	83
2.13	87
2.135	92
2.14	96
2.145	100
2.15	104
2.155	107
2.16	109
2.166	111
2.17	112
2.175	113
2.18	113
2.185	113
2.19	113
2.195	112
2.2	111
2.205	110
2.21	109
2.215	107
2.22	106
2.225	104
2.23	102
2.235	101
2.24	99
2.245	98
2.25	97
2.255	96
2.26	94
2.265	94
2.27	93
2.275	92
2.28	91
2.285	90
2.29	90
2.295	89
2.3	88
2.305	87
2.31	86
2.315	85
2.32	84
2.325	83
2.33	82
2.335	81
2.34	80
2.345	80
2.35	79
2.355	79
2.36	79
2.365	79
2.37	79
2.375	79
2.38	79
2.385	79
2.39	80
2.395	80
2.408	81
2.412	81
2.416	81
2.422	81
2.426	82
2.43	82
2.434	82
2.438	82
2.443	82
2.447	82
2.451	82
2.455	82
2.46	82
2.465	82
2.47	81
2.475	81
2.48	81
2.485	80
2.49	79
2.495	79
2.5	79
2.505	78
2.51	78
2.515	77
2.52	77
2.525	76
2.53	75
2.535	75
2.54	75
2.545	74
2.55	74
2.555	73
2.56	73
2.565	73
2.57	72
2.575	72
2.58	72
2.585	71
2.59	71
2.595	71
2.6	71
2.605	71
2.61	70
2.615	70
2.62	70
2.625	70
2.63	70
2.635	70
2.64	70
2.645	69
2.65	69
2.655	69
2.66	69
2.666	69
2.67	69
2.675	69
2.68	69
2.685	69
2.69	69
2.695	68
2.7	68
2.705	68
2.71	68
2.715	67
2.72	67
2.725	67
2.73	67
2.735	67
2.74	66
2.745	66
2.75	66
2.755	66
2.76	66
2.765	67
2.77	67
2.775	69
2.78	70
2.785	73
2.79	76
2.795	79
2.8	83
2.805	88
2.81	92
2.815	96
2.82	100
2.825	104
2.83	107
2.835	110
2.84	111
2.845	112
2.85	113
2.855	113
2.86	113
2.865	113
2.87	112
2.875	111
2.88	109
2.885	108
2.89	106
2.895	105
2.9	103
2.905	102
2.91	101
2.916	100
2.92	98
2.925	97
2.93	96
2.935	95
2.94	94
2.945	93
2.95	92
2.955	91
2.96	90
2.965	90
2.97	89
2.975	88
2.98	87
2.985	86
2.99	85
2.995	84
3.0	83
3.005	82
3.01	81
3.015	81
3.02	80
3.025	80
3.03	79
3.035	79
3.04	79
3.045	79
3.05	79
3.055	79
3.06	79
3.065	80
3.07	80
3.075	81
3.08	81
3.085	81
3.097	81
3.102	82
3.106	82
3.11	82
3.114	82
3.118	82
3.122	82
3.127	82
3.131	82
3.135	82
3.14	82
3.145	81
3.15	81
3.155	81
3.16	80
3.166	80
3.17	79
3.175	79
3.18	78
3.185	78
3.19	77
3.195	77
3.2	76
3.205	76
3.21	75
3.215	74
3.22	74
3.225	74
3.23	74
3.235	73
3.24	73
3.245	73
3.25	72
3.255	72
3.26	72
3.265	72
3.27	71
3.275	71
3.28	71
3.285	71
3.29	71
3.295	71
3.3	70
3.305	70
3.31	70
3.315	70
3.32	70
3.325	69
3.33	69
3.335	69
3.34	69
3.345	69
3.35	69
3.355	69
3.36	69
3.365	68
3.37	68
3.375	68
3.38	68
3.385	68
3.39	68
3.395	67
3.4	67
3.405	67
3.41	66
3.416	66
3.42	67
3.425	67
3.43	67
3.435	68
3.44	68
3.445	70
3.45	72
3.455	75
3.46	78
3.465	82
3.47	86
3.475	90
3.48	94
3.485	98
3.49	102
3.495	105
3.5	108
3.505	111
3.51	112
3.515	113
3.52	113
3.525	113
3.53	113
3.535	112
3.54	110
3.545	109
3.55	107
3.555	106
3.56	104
3.565	103
3.57	101
3.575	100
3.58	98
3.585	97
3.59	96
3.595	95
3.6	94
3.605	93
3.61	92
3.615	91
3.62	91
3.625	90
3.63	89
3.635	88
3.64	87
3.645	86
3.65	85
3.655	84
3.66	83
3.666	82
3.67	81
3.675	80
3.68	80
3.685	79
3.69	79
3.695	79
3.7	78
3.705	78
3.71	78
3.715	78
3.72	79
3.725	79
3.73	80
3.735	80
3.74	81
3.745	81
3.75	81
3.755	81
3.76	82
3.772	82
3.777	82
3.781	82
3.785	82
3.789	83
3.793	82
3.797	82
3.802	82
3.806	82
3.81	82
3.815	81
3.82	81
3.825	80
3.83	80
3.835	79
3.84	79
3.845	78
3.85	78
3.855	78
3.86	77
3.865	76
3.87	76
3.875	75
3.88	75
3.885	74
3.89	74
3.895	74
3.9	73
3.905	73
3.91	73
3.916	72
3.92	72
3.925	72
3.93	71
3.935	71
3.94	71
3.945	71
3.95	71
3.955	70
3.96	70
3.965	70
3.97	70
3.975	70
3.98	70
3.985	70
3.99	70
3.995	70
4.0	69
4.005	69
4.01	69
4.015	69
4.02	69
4.025	69
4.03	69
4.035	68
4.04	68
4.045	68
4.05	68
4.055	68
4.06	68
4.065	68
4.07	68
