DATA4,DATA5,DATA6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
data4,data5,data6
