date/time,level,msg
13-11-2022 14:57:38,2,envoi_abonnement
13-11-2022 14:57:45,2,envoi_abonnement
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,7,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,7,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,7,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,4,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,6,Message du LOG
13-11-2022 14:57:45,7,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
13-11-2022 14:57:45,0,Message du LOG
13-11-2022 14:57:45,3,Message du LOG
13-11-2022 14:57:45,5,Message du LOG
13-11-2022 14:57:45,7,Message du LOG
13-11-2022 14:57:45,1,Message du LOG
13-11-2022 14:57:45,2,Message du LOG
